Period,Sub_Period,forecast_StoreFront3_ETS,forecast_StoreFront3_ETS_high_95,forecast_StoreFront3_ETS_high_80,forecast_StoreFront3_ETS_low_80,forecast_StoreFront3_ETS_low_95
4,11,254797.930237878,281578.972940441,272309.112827511,237286.747648245,228016.887535316
4,12,249384.577343296,281203.221377062,270189.670394303,228579.484292289,217565.933309531
5,1,294112.789045999,337255.593874412,322322.352847148,265903.22524485,250969.984217586
5,2,276042.727294885,321201.631918505,305570.547895252,246514.906694517,230883.822671264
5,3,313578.558255229,369686.946236647,350265.861198015,276891.255312442,257470.17027381
5,4,318847.585560183,380407.097153178,359099.186650025,278595.984470341,257288.073967189
5,5,319731.257133592,385678.534759553,362851.864222088,276610.650045097,253783.979507632
5,6,277319.402149891,337960.924460886,316970.762311441,237668.041988342,216677.879838896
5,7,245475.112875114,302039.964894292,282460.881609526,208489.344140702,188910.260855936
5,8,239751.368998113,297683.215371666,277630.967297129,201871.770699097,181819.52262456
5,9,252719.528729852,316494.133963252,294419.501700545,211019.555759158,188944.923496451
5,10,258031.784867806,325803.844445214,302345.552741449,213718.016994163,190259.725290398
