user_id,event_time,unique_session_Id,device,gender,event_type
8191a8b8-9445-4661-9500-2bed275576f6,10/6/19 5:34,2d7b8da3-573a-447f-9964-acf32526b1db,tablet,female,landing_page
8191a8b8-9445-4661-9500-2bed275576f6,10/6/19 5:36,2d7b8da3-573a-447f-9964-acf32526b1db,tablet,female,play_random_song
8191a8b8-9445-4661-9500-2bed275576f6,10/6/19 5:37,2d7b8da3-573a-447f-9964-acf32526b1db,tablet,female,play_requested_song
8191a8b8-9445-4661-9500-2bed275576f6,10/12/19 6:27,8a08005b-7e74-4664-b25d-9e29d8316d71,tablet,female,landing_page
8191a8b8-9445-4661-9500-2bed275576f6,10/12/19 6:28,8a08005b-7e74-4664-b25d-9e29d8316d71,tablet,female,play_random_song
8191a8b8-9445-4661-9500-2bed275576f6,10/9/19 0:46,6d55a221-ee9f-48ce-b3ca-51a9ad6a8371,desktop,female,landing_page
dd9cf5d1-c982-4110-a035-5339b16442ed,10/6/19 15:28,46c01c2f-153c-47c4-ab70-d238425d5678,desktop,female,landing_page
dd9cf5d1-c982-4110-a035-5339b16442ed,10/10/19 21:57,f6bf7983-ce29-4831-9062-8fd2858dc955,tablet,female,landing_page
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/10/19 23:36,fbd2bafa-8d98-4ab1-b81e-7388c51f5359,smartphone (iOS),male,landing_page
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/10/19 23:37,fbd2bafa-8d98-4ab1-b81e-7388c51f5359,smartphone (iOS),male,play_random_song
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/8/19 12:37,19ce0017-d78a-4028-9bf6-e162cd294544,smartphone (Android),male,landing_page
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/8/19 12:37,19ce0017-d78a-4028-9bf6-e162cd294544,smartphone (Android),male,play_random_song
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/8/19 12:38,19ce0017-d78a-4028-9bf6-e162cd294544,smartphone (Android),male,play_requested_song
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/11/19 3:29,53a61bbd-a837-48df-95ed-9115c376edfd,smartphone (Android),male,landing_page
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/11/19 3:30,53a61bbd-a837-48df-95ed-9115c376edfd,smartphone (Android),male,play_random_song
35bbcaf0-1f6f-4f54-a883-197c6f034f4c,10/6/19 3:27,b0140303-218a-49fd-a96b-feaaa2ec2ff7,smartphone (iOS),male,landing_page
02b1a7e2-807b-40b1-b26d-106a907e27e8,10/5/19 14:24,7627a6a4-1c26-4d12-b399-1c236bae4439,desktop,female,landing_page
7c76bfe6-b98f-43d4-950f-f2cb027beb4c,10/9/19 5:52,63b6ac65-dcf1-42fb-83c1-6222f8ac2f81,smartphone (Android),female,landing_page
7c76bfe6-b98f-43d4-950f-f2cb027beb4c,10/9/19 5:52,63b6ac65-dcf1-42fb-83c1-6222f8ac2f81,smartphone (Android),female,play_random_song
7c76bfe6-b98f-43d4-950f-f2cb027beb4c,10/9/19 5:53,63b6ac65-dcf1-42fb-83c1-6222f8ac2f81,smartphone (Android),female,play_requested_song
